frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
260,8.6667,104.8514,143.1607,0.036389,0.028628,0.026714,0.005421,0.019098,0
261,8.7,104.8492,143.1629,0.036243,0.028578,0.026704,0.003964,0.01622,0
262,8.7333,104.8456,143.157,0.03615,0.028633,0.026601,0.004757,0.00937,0
263,8.7667,104.8477,143.1421,0.036025,0.028564,0.026537,0.003641,0.017774,0
264,8.8,104.8426,143.1633,0.035934,0.028593,0.026606,0.005513,0.015001,0
265,8.8333,105.1521,142.7045,0.036418,0.027026,0.026842,0.017753,0.263287,0
266,8.8667,105.1499,142.7092,0.036418,0.027026,0.026842,0.003671,0.01231,0
267,8.9,105.142,142.7176,0.03624,0.027036,0.026827,0.003453,0.013559,0
268,8.9333,105.1368,142.7353,0.036041,0.027036,0.026916,0.004842,0.008403,0
269,8.9667,105.1609,142.6999,0.035902,0.027031,0.026916,0.003837,0.010864,0
270,9.0,105.1089,142.7974,0.035625,0.027036,0.027009,0.005585,0.013789,0
271,9.0333,105.0994,142.8311,0.035369,0.027046,0.026867,0.003236,0.012969,0
272,9.0667,105.0931,142.8407,0.035439,0.027066,0.026876,0.00296,0.014409,0
273,9.1,105.0861,142.8539,0.035315,0.027066,0.026862,0.004134,0.010418,0
274,9.1333,105.0968,142.8331,0.034938,0.027076,0.026862,0.005116,0.018097,0
275,9.1667,105.0553,142.905,0.034787,0.027106,0.026872,0.008832,0.025369,0
276,9.2,105.0172,143.0056,0.034526,0.027199,0.026798,0.006136,0.020083,0
277,9.2333,104.9506,143.1287,0.034507,0.02716,0.026857,0.00592,0.028196,0
278,9.2667,104.9682,143.1218,0.034198,0.027155,0.026803,0.004673,0.021918,0
279,9.3,104.9147,143.2087,0.034175,0.027145,0.026842,0.00526,0.019063,0
280,9.3333,104.8316,143.3753,0.034058,0.02714,0.026793,0.004756,0.031885,0
281,9.3667,104.8155,143.4166,0.033949,0.027051,0.026847,0.005189,0.032181,0
282,9.4,104.814,143.3862,0.03376,0.027026,0.026852,0.005915,0.079212,0
283,9.4333,104.8542,143.2969,0.033785,0.027012,0.026852,0.004921,0.077449,0
284,9.4667,104.8616,143.2302,0.033792,0.027022,0.026842,0.005491,0.084916,0
285,9.5,104.9018,143.1005,0.033746,0.026982,0.026842,0.005639,0.082829,0
286,9.5333,104.9563,142.9924,0.033789,0.026987,0.026842,0.005547,0.084,0
287,9.5667,105.0331,142.8611,0.033873,0.026928,0.026842,0.004627,0.091956,0
288,9.6,105.0516,142.8194,0.033831,0.026967,0.026842,0.004112,0.103326,0
289,9.6333,105.0218,142.9135,0.033777,0.026938,0.026827,0.006834,0.12639,0
290,9.6667,105.0176,142.9319,0.033819,0.026942,0.026832,0.00422,0.045206,0
291,9.7,104.5411,142.9605,0.03406,0.026928,0.026793,0.011015,0.095442,0
292,9.7333,104.3987,142.9795,0.034125,0.027012,0.026793,0.012338,0.054695,0
293,9.7667,104.1228,143.0203,0.03424,0.027007,0.026793,0.020339,0.090075,0
294,9.8,103.9347,142.966,0.034311,0.027012,0.026793,0.021679,0.029871,0
295,9.8333,103.8316,142.9281,0.03424,0.027012,0.026793,0.017076,0.014696,0
296,9.8667,103.7844,142.9124,0.034133,0.027012,0.026793,0.007776,0.013053,0
297,9.9,103.7816,142.9092,0.034128,0.027012,0.026793,0.002858,0.013909,0
298,9.9333,103.8101,143.4298,0.032491,0.023947,0.026709,0.026347,0.290633,0
