frame,timestamp_s,brightness,saturation,edge_density,top_edge_density,bottom_edge_density,histogram_change,motion_score,scene_cut
170,5.6667,128.6346,62.8583,0.023928,0.026356,0.01749,0.004689,0.023254,0
171,5.7,128.6631,62.7706,0.023853,0.025939,0.01749,0.006069,0.069194,0
172,5.7333,128.6089,62.8203,0.023847,0.026119,0.01749,0.00585,0.052364,0
173,5.7667,128.5565,62.78,0.023967,0.026084,0.01749,0.004743,0.032751,0
174,5.8,128.5048,62.8415,0.023842,0.025775,0.01749,0.005162,0.032301,0
175,5.8333,128.4999,62.8152,0.023908,0.025742,0.01749,0.005145,0.024625,0
176,5.8667,128.4684,62.8275,0.023811,0.025728,0.01765,0.003438,0.018676,0
177,5.9,128.4282,62.9225,0.023914,0.025693,0.01749,0.007714,0.027587,0
178,5.9333,128.318,62.958,0.024051,0.025957,0.01749,0.007706,0.05281,0
179,5.9667,128.268,63.0118,0.024054,0.02593,0.01749,0.003947,0.022614,0
180,6.0,128.3283,62.9469,0.02388,0.025619,0.01749,0.005781,0.05415,0
181,6.0333,128.326,62.9788,0.023998,0.025761,0.01749,0.005595,0.05331,0
182,6.0667,128.3432,62.9951,0.023949,0.025957,0.017492,0.003351,0.024711,0
183,6.1,128.3406,63.0128,0.023838,0.025689,0.017492,0.004873,0.026859,0
184,6.1333,128.3858,62.9397,0.023791,0.025625,0.017492,0.004419,0.024355,0
185,6.1667,128.4474,62.8566,0.023813,0.02559,0.017494,0.00398,0.017784,0
186,6.2,128.4157,62.8605,0.02383,0.025371,0.017494,0.006855,0.044303,0
187,6.2333,128.3726,62.8729,0.023853,0.025481,0.017492,0.006501,0.025918,0
188,6.2667,128.3531,62.8858,0.02375,0.025423,0.017494,0.004381,0.020696,0
189,6.3,128.4121,62.8332,0.023784,0.025261,0.017494,0.004676,0.051306,0
190,6.3333,128.3473,62.8802,0.023727,0.025481,0.017494,0.004165,0.051633,0
191,6.3667,128.3297,62.8945,0.023819,0.025478,0.017494,0.005442,0.024412,0
192,6.4,128.3084,62.9246,0.023712,0.025474,0.017494,0.011149,0.020367,0
193,6.4333,128.2715,62.9448,0.023694,0.025524,0.017496,0.00827,0.040867,0
194,6.4667,128.2404,62.9563,0.023956,0.025832,0.017943,0.010379,0.032974,0
195,6.5,128.2167,63.0008,0.023886,0.025698,0.01798,0.014389,0.048441,0
196,6.5333,128.222,63.1126,0.023795,0.025884,0.017496,0.006768,0.041224,0
197,6.5667,128.2345,63.0635,0.023809,0.025801,0.017761,0.007129,0.02059,0
198,6.6,128.2937,63.0332,0.02364,0.025391,0.017496,0.004617,0.051528,0
199,6.6333,128.2947,63.131,0.023817,0.025621,0.017498,0.018351,0.059079,0
200,6.6667,128.4103,63.0669,0.023709,0.025178,0.017496,0.007895,0.070019,0
201,6.7,128.407,63.1227,0.023816,0.02518,0.017496,0.015017,0.021854,0
202,6.7333,128.4996,63.1079,0.023854,0.025092,0.017496,0.007614,0.03212,0
203,6.7667,128.5675,63.0277,0.023943,0.025101,0.017496,0.009081,0.050463,0
204,6.8,128.5525,63.0095,0.023913,0.025033,0.017496,0.00941,0.04644,0
205,6.8333,128.5505,63.0525,0.023919,0.025046,0.017496,0.005998,0.025291,0
206,6.8667,128.544,63.0386,0.023962,0.025178,0.017496,0.00353,0.017282,0
207,6.9,128.5444,63.0815,0.023859,0.025088,0.017496,0.009777,0.01555,0
208,6.9333,128.5017,63.1513,0.024005,0.025283,0.017496,0.010777,0.035332,0
209,6.9667,128.4418,63.2524,0.02394,0.025645,0.017496,0.00768,0.059054,0
210,7.0,128.4166,63.235,0.023924,0.025696,0.017496,0.00608,0.019767,0
211,7.0333,128.456,63.1392,0.023931,0.025487,0.017496,0.007722,0.036566,0
212,7.0667,128.4383,63.1787,0.023939,0.025516,0.017496,0.005449,0.031719,0
213,7.1,128.4485,63.1471,0.02388,0.025294,0.017496,0.003867,0.038099,0
214,7.1333,128.477,63.0967,0.023915,0.025366,0.017496,0.004422,0.026309,0
215,7.1667,128.4641,63.0566,0.023969,0.02557,0.017496,0.005282,0.034267,0
216,7.2,128.5031,62.9785,0.023935,0.025303,0.017496,0.006705,0.052016,0
217,7.2333,128.4494,63.0198,0.023963,0.025452,0.017505,0.006857,0.059666,0
218,7.2667,128.4054,63.0144,0.023995,0.025513,0.01761,0.00905,0.043938,0
219,7.3,128.4847,62.8212,0.024032,0.025336,0.017606,0.007878,0.028654,0
220,7.3333,128.3801,63.0217,0.023994,0.025417,0.017621,0.005854,0.030379,0
221,7.3667,128.3355,63.0444,0.02399,0.025428,0.017496,0.003637,0.021806,0
222,7.4,128.3265,63.0689,0.023931,0.025408,0.017496,0.005462,0.03224,0
223,7.4333,128.2344,63.1721,0.024015,0.025783,0.017496,0.007398,0.036559,0
224,7.4667,128.1834,63.2297,0.024042,0.025862,0.017496,0.004496,0.026128,0
225,7.5,128.2011,63.2244,0.024088,0.025777,0.017496,0.004694,0.027439,0
226,7.5333,128.1819,63.1885,0.024025,0.025617,0.017496,0.005704,0.021635,0
227,7.5667,128.1783,63.2343,0.023975,0.025555,0.017496,0.004714,0.021016,0
228,7.6,128.2358,63.1842,0.023951,0.025518,0.017496,0.004886,0.022394,0
229,7.6333,128.2325,63.2064,0.023913,0.02547,0.017496,0.004361,0.024792,0
230,7.6667,128.2961,62.9597,0.024091,0.02552,0.017702,0.011923,0.023547,0
231,7.7,128.3175,63.0571,0.024117,0.025259,0.018343,0.010779,0.043242,0
232,7.7333,128.3596,62.9216,0.024312,0.025285,0.019317,0.007336,0.048391,0
233,7.7667,128.3364,63.0606,0.023949,0.025011,0.017494,0.011725,0.067886,0
